"","prob","acc","elap","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20"
"1",0.1,0.791879034998301,1.41999999999825,"B","D","B","A","A","B","D","A","A","A","B","A","B","A","E","E","A","B","B","B"
"2",0.1,0.788651036357458,1.47000000000116,"B","A","B","A","A","E","D","A","A","A","B","A","B","A","E","E","A","B","B","B"
"3",0.3,0.834110107777454,3.36000000000058,"B","A","B","A","A","B","D","A","A","A","B","A","B","A","E","E","A","B","B","B"
"4",0.3,0.83913486746286,3.09000000000015,"B","A","B","A","A","B","D","A","A","A","B","A","C","A","E","E","A","B","B","B"
"5",0.5,0.859938837920489,4.97000000000116,"B","A","B","A","A","E","D","A","A","A","B","A","B","A","E","E","A","B","B","E"
"6",0.5,0.856982670744139,4.86000000000058,"B","A","B","A","A","C","D","A","A","A","B","A","B","A","E","E","A","B","B","B"
"7",0.7,0.863188307273963,6.7599999999984,"B","A","B","A","A","E","D","A","A","A","B","A","B","A","E","E","A","B","B","B"
"8",0.7,0.866757307953773,6.61999999999898,"B","A","B","A","A","B","D","A","A","A","B","A","B","A","E","E","A","B","B","B"
"9",0.9,0.863775510204082,8.53000000000247,"B","A","B","A","A","B","D","A","A","A","B","A","B","A","E","E","A","B","B","B"
"10",0.9,0.866326530612245,7.9800000000032,"B","A","B","A","A","B","D","A","A","A","B","A","B","A","E","E","A","B","B","B"
