"","prob","acc","elap","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20"
"1",0.05,0.82332743172917,1.21000000000276,"B","A","B","A","A","E","D","A","A","A","C","C","B","A","E","E","A","B","A","B"
"2",0.05,0.819410912602607,1.20000000000073,"B","A","B","A","B","E","D","C","A","A","C","C","B","A","E","E","A","B","A","B"
"3",0.05,0.833896668276195,1.28999999999724,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"4",0.1,0.86742552950504,1.92000000000189,"B","A","B","A","A","E","D","D","A","A","B","C","B","A","E","E","A","B","B","B"
"5",0.1,0.86221542643561,1.91999999999825,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"6",0.1,0.867991845056065,1.95999999999913,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"7",0.15,0.889715142428786,2.59000000000015,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"8",0.15,0.88671664167916,2.59000000000015,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","C","B","B"
"9",0.15,0.894272863568216,2.54999999999927,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"10",0.2,0.907359031538707,3.18000000000029,"B","A","B","A","A","E","D","D","A","A","B","C","B","A","E","E","A","B","B","B"
"11",0.2,0.902835297865562,3.36000000000058,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"12",0.2,0.905129021981523,3.2400000000016,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"13",0.25,0.915324498810737,3.88000000000102,"B","A","A","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"14",0.25,0.915868161739721,3.88000000000102,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
"15",0.25,0.917023445463812,3.84999999999854,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"16",0.3,0.922303939416005,4.63000000000102,"B","A","B","A","A","E","D","A","A","A","B","C","B","A","E","E","A","B","B","B"
