"","prob","acc","elap","welap","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20"
"1",0.05,0.896078115778744,1.13999999999942,1.22999999999593,"B","A","A","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"2",0.05,0.897365738505285,1.20000000001164,2.43000000000757,"A","A","A","A","A","E","D","D","A","A","B","C","B","A","E","E","A","A","B","B"
"3",0.05,0.887923171843983,1.40999999998894,3.83999999999651,"B","A","B","A","A","E","D","D","A","A","B","C","B","A","E","E","A","A","B","B"
"4",0.1,0.925359610374901,1.89999999999418,5.75999999999476,"B","A","B","A","A","E","D","D","A","A","B","C","B","A","E","E","A","B","B","B"
"5",0.1,0.926492241476951,1.86000000000058,7.63999999999942,"B","A","A","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","A","B"
"6",0.1,0.936516026730094,1.92999999999302,9.58000000000175,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","A","B"
"7",0.15,0.95424287856072,2.58000000000175,12.1699999999983,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"8",0.15,0.950404797601199,2.5399999999936,14.7200000000012,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"9",0.15,0.945907046476762,2.63000000000466,17.3600000000006,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"10",0.2,0.959987257088245,3.27000000000407,20.6399999999994,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"11",0.2,0.961006690028672,3.26999999998952,23.9199999999983,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"12",0.2,0.962089837527875,3.34999999999127,27.2799999999988,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"13",0.25,0.967244308528712,3.93999999998778,31.2299999999959,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"14",0.25,0.970642201834862,4.08000000000175,35.3099999999977,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"15",0.25,0.965953109072375,4.05999999999767,39.3899999999994,"B","A","A","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"16",0.3,0.971455617854802,4.75,44.1500000000087,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"17",0.3,0.968324473894997,4.66999999999825,48.8399999999965,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"18",0.3,0.97036335833394,4.77000000000407,53.6100000000006,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"19",0.35,0.971533877038896,5.47000000000116,59.0899999999965,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"20",0.35,0.975297992471769,5.32000000000698,64.4300000000076,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"21",0.35,0.974121706398996,5.44000000000233,69.8899999999994,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
"22",0.4,0.978593272171254,6.13999999999942,76.0400000000081,"B","A","B","A","A","E","D","B","A","A","B","C","B","A","E","E","A","B","B","B"
